"","Taxon","State","Acc","VT","Genus","Family","Order","Ingroup"
"VTX00024_AY394664_Acaulospora_Acaulosporaceae_Diversisporales","VTX00024_AY394664_Acaulospora_Acaulosporaceae_Diversisporales","AM","AY394664","VTX00024","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00026_AM849306_Acaulospora_Acaulosporaceae_Diversisporales","VTX00026_AM849306_Acaulospora_Acaulosporaceae_Diversisporales","AM","AM849306","VTX00026","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00027_AY129598_Acaulospora_Acaulosporaceae_Diversisporales","VTX00027_AY129598_Acaulospora_Acaulosporaceae_Diversisporales","AM","AY129598","VTX00027","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00028_AY129590_Acaulospora_Acaulosporaceae_Diversisporales","VTX00028_AY129590_Acaulospora_Acaulosporaceae_Diversisporales","AM","AY129590","VTX00028","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00029_HF568101_Acaulospora_Acaulosporaceae_Diversisporales","VTX00029_HF568101_Acaulospora_Acaulosporaceae_Diversisporales","AM","HF568101","VTX00029","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00030_AF074346_Acaulospora_Acaulosporaceae_Diversisporales","VTX00030_AF074346_Acaulospora_Acaulosporaceae_Diversisporales","AM","AF074346","VTX00030","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00036_HF568104_Acaulospora_Acaulosporaceae_Diversisporales","VTX00036_HF568104_Acaulospora_Acaulosporaceae_Diversisporales","AM","HF568104","VTX00036","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00037_HF954816_Acaulospora_Acaulosporaceae_Diversisporales","VTX00037_HF954816_Acaulospora_Acaulosporaceae_Diversisporales","AM","HF954816","VTX00037","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00039_U96146_Gigaspora_Gigasporaceae_Diversisporales","VTX00039_U96146_Gigaspora_Gigasporaceae_Diversisporales","AM","U96146","VTX00039","Gigaspora","Gigasporaceae","Diversisporales","Yes"
"VTX00040_EU332707_Diversispora_Diversisporaceae_Diversisporales","VTX00040_EU332707_Diversispora_Diversisporaceae_Diversisporales","AM","EU332707","VTX00040","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00041_AJ418851_Scutellospora_Gigasporaceae_Diversisporales","VTX00041_AJ418851_Scutellospora_Gigasporaceae_Diversisporales","AM","AJ418851","VTX00041","Scutellospora","Gigasporaceae","Diversisporales","Yes"
"VTX00042_AF131031_Acaulospora_Acaulosporaceae_Diversisporales","VTX00042_AF131031_Acaulospora_Acaulosporaceae_Diversisporales","AM","AF131031","VTX00042","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00043_AF074343_Acaulospora_Acaulosporaceae_Diversisporales","VTX00043_AF074343_Acaulospora_Acaulosporaceae_Diversisporales","AM","AF074343","VTX00043","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00047_AY129584_Acaulospora_Acaulosporaceae_Diversisporales","VTX00047_AY129584_Acaulospora_Acaulosporaceae_Diversisporales","AM","AY129584","VTX00047","Acaulospora","Acaulosporaceae","Diversisporales","Yes"
"VTX00049_AF074340_Gigaspora_Gigasporaceae_Diversisporales","VTX00049_AF074340_Gigaspora_Gigasporaceae_Diversisporales","AM","AF074340","VTX00049","Gigaspora","Gigasporaceae","Diversisporales","Yes"
"VTX00051_AB365834_Archaeospora_Archaeosporaceae_Archaeosporales","VTX00051_AB365834_Archaeospora_Archaeosporaceae_Archaeosporales","AM","AB365834","VTX00051","Archaeospora","Archaeosporaceae","Archaeosporales","Yes"
"VTX00052_AJ496115_Gigaspora_Gigasporaceae_Diversisporales","VTX00052_AJ496115_Gigaspora_Gigasporaceae_Diversisporales","AM","AJ496115","VTX00052","Gigaspora","Gigasporaceae","Diversisporales","Yes"
"VTX00053_DQ336485_Glomus_Glomeraceae_Glomerales","VTX00053_DQ336485_Glomus_Glomeraceae_Glomerales","AM","DQ336485","VTX00053","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00054_AJ315524_Diversispora_Diversisporaceae_Diversisporales","VTX00054_AJ315524_Diversispora_Diversisporaceae_Diversisporales","AM","AJ315524","VTX00054","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00055_AB076345_Claroideoglomus_Claroideoglomeraceae_Glomerales","VTX00055_AB076345_Claroideoglomus_Claroideoglomeraceae_Glomerales","AM","AB076345","VTX00055","Claroideoglomus","Claroideoglomeraceae","Glomerales","Yes"
"VTX00056_AY916419_Claroideoglomus_Claroideoglomeraceae_Glomerales","VTX00056_AY916419_Claroideoglomus_Claroideoglomeraceae_Glomerales","AM","AY916419","VTX00056","Claroideoglomus","Claroideoglomeraceae","Glomerales","Yes"
"VTX00057_DQ164831_Claroideoglomus_Claroideoglomeraceae_Glomerales","VTX00057_DQ164831_Claroideoglomus_Claroideoglomeraceae_Glomerales","AM","DQ164831","VTX00057","Claroideoglomus","Claroideoglomeraceae","Glomerales","Yes"
"VTX00058_DQ357079_Diversispora_Diversisporaceae_Diversisporales","VTX00058_DQ357079_Diversispora_Diversisporaceae_Diversisporales","AM","DQ357079","VTX00058","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00059_AY129577_Diversispora_Diversisporaceae_Diversisporales","VTX00059_AY129577_Diversispora_Diversisporaceae_Diversisporales","AM","AY129577","VTX00059","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00060_AM849296_Diversispora_Diversisporaceae_Diversisporales","VTX00060_AM849296_Diversispora_Diversisporaceae_Diversisporales","AM","AM849296","VTX00060","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00061_X86687_Diversispora_Diversisporaceae_Diversisporales","VTX00061_X86687_Diversispora_Diversisporaceae_Diversisporales","AM","X86687","VTX00061","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00062_AM849266_Diversispora_Diversisporaceae_Diversisporales","VTX00062_AM849266_Diversispora_Diversisporaceae_Diversisporales","AM","AM849266","VTX00062","Diversispora","Diversisporaceae","Diversisporales","Yes"
"VTX00063_AJ505812_Glomus_Glomeraceae_Glomerales","VTX00063_AJ505812_Glomus_Glomeraceae_Glomerales","AM","AJ505812","VTX00063","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00064_AM849308_Glomus_Glomeraceae_Glomerales","VTX00064_AM849308_Glomus_Glomeraceae_Glomerales","AM","AM849308","VTX00064","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00065_Y17635_Glomus_Glomeraceae_Glomerales","VTX00065_Y17635_Glomus_Glomeraceae_Glomerales","AM","Y17635","VTX00065","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00066_AY273548_Glomus_Glomeraceae_Glomerales","VTX00066_AY273548_Glomus_Glomeraceae_Glomerales","AM","AY273548","VTX00066","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00067_AJ306438_Glomus_Glomeraceae_Glomerales","VTX00067_AJ306438_Glomus_Glomeraceae_Glomerales","AM","AJ306438","VTX00067","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00068_DQ336448_Glomus_Glomeraceae_Glomerales","VTX00068_DQ336448_Glomus_Glomeraceae_Glomerales","AM","DQ336448","VTX00068","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00069_AY129592_Glomus_Glomeraceae_Glomerales","VTX00069_AY129592_Glomus_Glomeraceae_Glomerales","AM","AY129592","VTX00069","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00070_AY129578_Glomus_Glomeraceae_Glomerales","VTX00070_AY129578_Glomus_Glomeraceae_Glomerales","AM","AY129578","VTX00070","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00072_AM849312_Glomus_Glomeraceae_Glomerales","VTX00072_AM849312_Glomus_Glomeraceae_Glomerales","AM","AM849312","VTX00072","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00073_LN616833_Glomus_Glomeraceae_Glomerales","VTX00073_LN616833_Glomus_Glomeraceae_Glomerales","AM","LN616833","VTX00073","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00074_AF131050_Glomus_Glomeraceae_Glomerales","VTX00074_AF131050_Glomus_Glomeraceae_Glomerales","AM","AF131050","VTX00074","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00075_AB365827_Glomus_Glomeraceae_Glomerales","VTX00075_AB365827_Glomus_Glomeraceae_Glomerales","AM","AB365827","VTX00075","Glomus","Glomeraceae","Glomerales","Yes"
"VTX00076_DQ371669_Glomus_Glomeraceae_Glomerales","VTX00076_DQ371669_Glomus_Glomeraceae_Glomerales","AM","DQ371669","VTX00076","Glomus","Glomeraceae","Glomerales","Yes"
